"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1900570999298654417","Fri Mar 14 15:33:31 +0000 2025","0","Korang tak payah minat Kim Soo-hyun dah. Ada 87-liner yang jauh lagi pandai berlakon dan lebih berkarisma yall. Ya semua orang dipersilakan jadi peminat Park Jeong-min juseyoo https://t.co/qdsB2RBJ0u","1900570999298654417","https://pbs.twimg.com/tweet_video_thumb/GmAvPr4b0AAFFM1.jpg","","in","","0","0","0","https://x.com/hyogi_s/status/1900570999298654417","987135370679664641","hyogi_s"
"1900417769163661537","Fri Mar 14 15:32:07 +0000 2025","0","@kdrama_menfess Gw suka couple school 2015 lupa pemerannya cuman Kim sohyun yg gw inget ( ksh yg cwek y guys)","1900570646255644762","","kdrama_menfess","in","","0","0","0","https://x.com/thedreamyer/status/1900570646255644762","1801930339230924800","thedreamyer"
"1900570598146969755","Fri Mar 14 15:31:56 +0000 2025","0","Mantep yaa Dia turunin itu trending KIM SOO HYUN lanjutkan KSH KARMA GAK SALAH ALAMAT https://t.co/H33OHggMIT","1900570598146969755","https://pbs.twimg.com/media/GmAu4WoasAAAu80.jpg","","in","","0","0","0","https://x.com/thvme1717/status/1900570598146969755","1498600502313238530","thvme1717"
"1900318494811709863","Fri Mar 14 15:08:15 +0000 2025","1","@yhaterus dan tmnku dgn kebebalannya ga ngaruh ttp kim soo hyun di hati ... udahlah urusan dy tpi statement nya berikutnya ga mgkn bakal jalan klo bkn krna suka ama suka salah perempuan jga tllu suka sm KSH. pengen ku... ","1900564638800236968","","yhaterus","in","","0","0","0","https://x.com/CatIs16271/status/1900564638800236968","1742138303833575425","CatIs16271"
"1900561853211939129","Fri Mar 14 14:57:11 +0000 2025","0","sama2 inisial ksh tp beda bgt cara ngehandle skandalnya (((keinget kim seonho)))","1900561853211939129","","","in","","0","0","0","https://x.com/kiandella/status/1900561853211939129","1671899107659767814","kiandella"
"1900378289434247368","Fri Mar 14 14:48:52 +0000 2025","0","@aprillia_anna46 @kchartsmaster Lah lagian lu ngetik jadikan org berspekulasi negatif ke kim soo hyun Itu namanya apa njir kalo bukan ngebela KSH.","1900559763618021775","","aprillia_anna46","in","","0","0","0","https://x.com/hiumenhera/status/1900559763618021775","1185044199042777088","hiumenhera"
"1900443166593200267","Fri Mar 14 14:48:07 +0000 2025","4","@cynonymx prabowo x kim soohyun pantes gibran mirip ksh ternyata selingkuh lagi @prabowo","1900559572659851564","","cynonymx","in","","0","0","0","https://x.com/budapest_tm/status/1900559572659851564","1079709028488404993","budapest_tm"
"1900424280229155041","Fri Mar 14 14:43:03 +0000 2025","0","@BucinnJaehyun kim soohyun ngeremehin paparazi china bgt banyak banyak temenan sama aktor china dulu lu ksh biar tau paparazzinya sengeri ape. ngeboong aje terus biar kebuka semuanya","1900558299332026822","","BucinnJaehyun","in","","0","0","0","https://x.com/anyw0ne/status/1900558299332026822","951546014946680832","anyw0ne"
"1900556668032987613","Fri Mar 14 14:36:34 +0000 2025","1","GaroSero: Ini adalah Hutan Seoul. Di depan Galleria Foret kotak merah adalah Galleria Foret. Ini adalah foto #KimSaeron &amp; #Kimsoohyun yang diambil di depan rumah Kim Soo-hyun https://t.co/C78WHb3IWq","1900556668032987613","https://pbs.twimg.com/media/GmAiNswa4AAfCIH.jpg","","in","","0","0","0","https://x.com/Shel_Kpop/status/1900556668032987613","520325549","Shel_Kpop"
"1900556353099448395","Fri Mar 14 14:35:19 +0000 2025","0","Tahi lalat atas alis kim soo hyun menjadi saksi timeline waktu ksr dan ksh berpacaran https://t.co/I1PlT5pB8V","1900556353099448395","","","in","","0","0","0","https://x.com/istapuspit/status/1900556353099448395","79365059","istapuspit"
"1900445595833110703","Fri Mar 14 14:31:25 +0000 2025","1","@anothermyne @ddududduduuduu @piscesnza @tanyakanrl lebih bagus aktingnya &amp; JAUUUH lbeih versatile dr KSH yg selalu ambil peran monoton. Contoh kecil : Ji Sung Kim mu yeol Im siwan sama Namgoo min. Ini baru sebagin aktor yg perannya bener2 versatile &amp; bs ambil method acting. KSH's acting ability is nowhere near mereka","1900555371737186791","","junkyusmom","in","","0","0","0","https://x.com/junkyusmom/status/1900555371737186791","1327144285733531649","junkyusmom"
"1900499588823593222","Fri Mar 14 14:26:41 +0000 2025","7","@tang__kira Parah bgt ya kasus KSH ini..level chaosnya mirip skandal burning sun. Ini KSH sampe nyeret byk bgt artis..Yoona Suzy GD Kim JiWon Seo YeJi Kim YooJung SeoHyun SNSD Choi HyunWook Jisoo (actor). Siapa lagi nanti yg keseret @_@","1900554180953248222","","tang__kira","in","","0","3","0","https://x.com/Luviesland/status/1900554180953248222","1325614241055830016","Luviesland"
"1900553505405854052","Fri Mar 14 14:24:00 +0000 2025","5","deus tira toda dor da Yoohyeon e da pro kim soo-hyun","1900553505405854052","","","in","","0","0","0","https://x.com/YubinBe_07/status/1900553505405854052","917120674086473728","YubinBe_07"
"1900552516049285302","Fri Mar 14 14:20:05 +0000 2025","0","Betul la. If kim sae ron hidup lagi lagi ramai orang tak percaya dia. Just because she takde dah orang start nak backup her. Takda guna dah. Tapi at least nama dia bersih and ksh should died. Pervert nak mampos. Gatai miang babihhh","1900552516049285302","","","in","","0","0","0","https://x.com/hellozamorra/status/1900552516049285302","1484451414","hellozamorra"
"1900445595833110703","Fri Mar 14 14:18:17 +0000 2025","0","@tanyakanrl mending moon bin cha eun woo kim taehyung hwang hyunjin Ji chang wook daripadi si ksh ksh bau eek badak ini","1900552065715507543","","tanyakanrl","in","","0","0","0","https://x.com/dekitamaa/status/1900552065715507543","1860110728591720448","dekitamaa"
